Trope,Description,Inverted?/Defied?,Averted/Subverted?,Rough Occurence in movie,book_movie_weirdness,Background?,sig_scene,Setups?,Start Time,End Time,Total Time
Bulletproof Vest," In the Mines of Moria, Frodo appears to be fatally stabbed by a cave troll, but soon after reveals that he's wearing an impenetrable shirt of mithril beneath his coat. This also happens in the book, though he is stabbed by an orc and suffers a greater injury from the impact: the mithril coat prevents him from being stabbed, sure, but the sheer force from the spear thrust still knocks him out, drives the rings of the mail coat into his body and badly bruises him. Frodo needed medical attention from Aragorn soon afterward or he would not have been able to keep up with the company in their journey.",,,,,,CAVE TROLL FIGHT,,8279,8388,
Lodged-Blade Recycling," Aragorn impales the cave troll with a spear; the troll pulls it out and uses it to eventually stab Frodo, who only survives because of his mithril shirt. ",,,,,,CAVE TROLL FIGHT,,8258,8279,
Roaring Rampage of Revenge,"When the cave-troll seems to have killed Frodo, Merry and Pippin share a look and then leap onto its back, stabbing it repeatedly. (Their small blades affect it little, but Pippin is able to time one final strike so that it rears its head back and allow Legolas to deliver the fatal shot through the throat). ",,,,,,CAVE TROLL FIGHT,,8291,8320,
Punch! Punch! Punch! Uh Oh...," Hobbits attacking a cave troll should have this effect, but the scene is hardly played for laughs.",,yes,,,,CAVE TROLL FIGHT,,8291,8320,
Death of a Thousand Cuts, How the Fellowship kills the cave troll in Moria .,,,,,,CAVE TROLL FIGHT,,8122,8336,
Attack the Mouth, Legolas kills the cave troll by shooting an arrow through its mouth into its brain.,,,,,,CAVE TROLL FIGHT,,8335,8336,
Locked Out of the Loop,"Nobody in the Fellowship is initially aware that Frodo brought Bilbo's Mithril Coat (let alone that he's wearing it); they don't find out until the clash in the Chamber of Mazarbul. That said, it's hinted Gandalf suspects when he's discussing Mithril earlier (and notice he's also not that surprised when Frodo ""miraculously"" survives the cave troll's spear thrust). Even before they hit Moria, it surely didn't escape Gandalf's notice that Bilbo bequeathed the Ring and Sting to his nephew, yet the third and final tool the old Hobbit had acquired during the Quest of Erebor was conspicuously absent.",,,,,Fuzzy: set to when Frodo's mithril is revealed in Balin's tomb.,CAVE TROLL FIGHT,,8388,8393,
Title Drop,"Gandalf: 'to ""The Bridge of Kazad-dum""!' (Fellowship chapter title)",,,,,,CAVE TROLL FIGHT,,8405,8406,
Run or Die, The goblin horde in Moria.,,,,,,CAVE TROLL FIGHT,,8405,8406,
Radial Ass Kicking," The Balrog chases off the goblins before the fight actually happens but in the Mines of Moria, but the Fellowship otherwise finds itself completely surrounded by a really absurd number of goblins.",,yes,,,,BALROG-CHASE,,8454,8470,
Always a Bigger Fish, The goblins have the party surrounded in the mines of Moria --- until the Balrog makes its first appearance. They run for it. So does everyone else.,,,,,,BALROG-CHASE,,8454,8470,
Horrifying the Horror," An army of goblins surround the Fellowship, only to immediately scurry off in fear after hearing the roar of the Balrog.",,,,,,BALROG-CHASE,,8454,8470,
Scared of What's Behind You," In Moria, Gimli thinks that the Fellowship is scaring off the orcs, naturally it's the Balrog that they're really reacting to.",,,,,,BALROG-CHASE,,8479,8480,
"Oh, Crap!",Legolas gets a pretty good Oh Crap look when he realizes there's a Balrog down there. The Moria Goblins are also similarly terrified. ,,,,,,BALROG-CHASE,,8490,8491,
Fear Is the Appropriate Response," Gandalf doesn't just inform the other characters that the Balrog is unstoppable. He calmly explains what a Balrog actually is while it's coming at them (it wasn't even in visual range), pauses to take a deep breath, looks shaken, and then shouts... ""RUN!"" and takes off ahead of the others, while they are still standing there looking at it. Making an about-face in the process.",,,,,,BALROG-CHASE,,8514,8526,
Red Filter of Doom," The filter is red owing to a fiery demon, the Balrog.",,,,,,BALROG-CHASE,,8484,8513,
Eldritch Abomination,"The dwarves unleash an Eldritch Abomination : the Balrog. The great halls allow it to move about with relative ease, seeing as how it's twenty times bigger than the whole Fellowship put together.",,,,,"Fuzzy: when does this trope actually happen--when Gandalf names the horror (before the chase) or when we first see the Balrog? Set to when Gandalf says ""A Balrog. A demon of the ancient world"" as that is as Eldritch as you can get.",BALROG-CHASE,,8513,8519,
Run or Die,The Balrog approaching.,,,,,,BALROG-CHASE,,8525,8526,
"Don't Ask, Just Run"," Gandalf says this when the Fellowship encounters the Balrog in Moria, sparked by ominous roaring and a creeping orange glow that makes the horde of goblins surrounding them run like hell. Gandalf's only explanation is ""This foe is beyond any of you. RUN!"" ",,,,,,BALROG-CHASE,,8522,8526,
Plummet Perspective, A torch is dropped by Boromir on the way to the Bridge of Khazad-dum; he barely saves himself from following it.,,,,,,BALROG-CHASE,,8542,8543,
Take It to the Bridge,A view of the Bridge of Kazad-dum as Gandalf tells Aragorn to lead them on ahead of the Balrog face-off and Gandalf's demise.,,,,,,BALROG-CHASE,,8559,8560,
Bows and Errors," During the Moria sequence, a CGI shot of one of Legolas' arrows shows the arrowhead moving along a perfect arc to the target, while the shaft and fletching dangle and shake behind it at random.",,,,,,BALROG-CHASE,,8609,8611,
Arrow Cam," Features another ""point of view"" arrow shot.",,,,,,BALROG-CHASE,,8609,8611,
"Boom, Headshot!"," Legolas shoots an Orc in the head while crossing the stairs in Khazad-Dum, with enough force that the arrow sticks in the pillar behind the Orc.",,,,,,BALROG-CHASE,,8611,8612,
Wings Do Nothing," The movie indeed depicts the Balrog with wings. However, they're skeletal, membrane-less wings that are completely useless for flight, explaining why the Balrog simply didn't fly away.",,,,,,BALROG-FACEOFF,,8728,8729,
Horns of Villainy," The Balrog wasn't clearly described in the novels, but it's given large ram-like horns, giving it a beast-like appearance.",,,,x,,BALROG-FACEOFF,,8728,8729,
Throat Light," The Balrog has light pouring out of its gullet. It is also glowing from various cracks in its skin, the implication being that it is simply a giant flame in demonic form cloaked by shadow.",,,,,,BALROG-FACEOFF,,8732,8734,
Shaping Your Attacks, The Balrog seemingly made his sword and whip out of pure fire. In the book they're simply described as fiery weapons .,,,,x,,BALROG-FACEOFF,,8783,8801,
Flaming Sword," The Balrog has one of these, along with a fiery whip .",,,,,,BALROG-FACEOFF,,8783,8801,
Badass Boast," ""I am a servant of the Secret Fire , wielder of the flame of Anor.""",,,,,,BALROG-FACEOFF,,8775,8780,
Power Echoes,""" YOU... SHALL NOT... PASS!!! ''"" ",,,,,,BALROG-FACEOFF,,8805,8808,
Punctuated!  For!  Emphasis!," ""You! Shall Not! Pass!"" . Then the bridge practically broke in half.",,,,,,BALROG-FACEOFF,,8805,8808,
Trope Namer,"The Trope Namer , since Gandalf actually says ""You cannot pass"" in the book. He says both in the film, but the long, more meme-inducing one was ""shall not."" ",,,,,,BALROG-FACEOFF,,8805,8808,
You Shall Not Pass!,"The Trope Namer , since Gandalf actually says ""You cannot pass"" in the book. He says both in the film, but the long, more meme-inducing one was ""shall not."" ",,,,,,BALROG-FACEOFF,,8805,8808,
Hope Spot,Probably the cruelest one in film history is when Gandalf sends the Balrog off the bridge and begins turning back... only for the tips of its whip to catch Gandalf by the foot and leave him dangling off the side of the bridge.,,,,,,BALROG-FACEOFF,,8827,8828,
Taking You with Me,The Balrog pulls Gandalf down the dark chasm with its fiery whip as it falls. ,,,,,,BALROG-FACEOFF,,8830,8832,
Last Breath Bullet,"Just when the Gandalf and the Fellowship believe that the Balrog is falling to its doom, it goes and pulls a Last Breath Whip and drags Gandalf along with it.",,,,,,BALROG-FACEOFF,,8830,8832,
Take a Moment to Catch Your Death," After he watches the Balrog fall through the pit of Khazad-dum, Gandalf turns away from the lip of the broken bridge. Unfortunately, the Balrog manages to lasso Gandalf's foot as it falls, pulling Gandalf until he is dangling from the lip by his weak grasp. Certain that any attempt to recover would hinder the Fellowship, he bids them to escape the mine and lets go .",,,,,,BALROG-FACEOFF,,8827,8850,
Literal Cliffhanger,Gandalf clings to the broken edge of the Bridge of Khazad-dum before falling to his temporary death.,,,,,,BALROG-FACEOFF,,8834,8850,
Deadly Nosebleed, Gandalf sports one of these during his battle against the Balrog.,,,,,,BALROG-FACEOFF,,8847,8848,
"Don't Ask, Just Run","And, of course, just before he falls into the chasm: ""Fly, you fools!""",,,,,,BALROG-FACEOFF,,8847,8849,
Crucified Hero Shot,Gandalf adopts this pose when pulled off the bridge by the falling Balrog.,,,,,,"GANDALF ""DIES""",,8851,8853,
"Big ""NO!""",Frodo also has one when Gandalf appears to die.,,,,,,"GANDALF ""DIES""",,8854,8857,
Sad Battle Music, There are two uses of this trope in the film. The first is when they escape the mines of Moria right after Gandalf falls.,,,,,,"GANDALF ""DIES""",,8885,8979,
Single Tear," After Gandalf dies, Frodo drops a tear.",,,,,,"GANDALF ""DIES""",,8964,8967,
Everybody Cries, The entire Fellowship cries after losing Gandalf.,,,,,,"GANDALF ""DIES""",,8899,8967,
Death Is Such an Odd Thing," Orlando Bloom said in the commentaries for the extended edition that this is what he was trying for, when the camera had its closeup on his face in the One-Woman Wail montage after Gandalf fell: he was coming to grips with what death was, as an elf whose only experience with it previously had been seeing enemies die in battle.",,,,,,"GANDALF ""DIES""",,8911,8912,
Cruel to Be Kind," After their narrow escape from the Mines of Moria, most of the Fellowship is extremely distraught at the loss of Gandalf and stop just outside the exit to mourn. However, Aragorn orders Boromir to get them on their feet and continue the journey, answering protests of not giving them a moment by noting that by nightfall, the whole area will be crawling with Orcs fully intent on killing them or worse, and the Fellowship must get to safety before dusk.",,,,,,"GANDALF ""DIES""",,8923,8933,
"What the Hell, Hero?"," Legolas and Boromir to Aragorn when he tells everyone to get up and moving after Gandalf's death. Legolas gives Aragorn a look that basically says ""Seriously, dude!?!"" while Boromir says ""Give them a moment, for pity's sake!""",,,,,,"GANDALF ""DIES""",,8925,8930,
The Dulcinea Effect, Gimli goes from describing Galadriel as a wicked sorceress to viewing her as the fairer than all the jewels beneath the earth. This transformation happens within days of meeting her.,,,,,,LOTHLORIEN,,9014,10212,
Telepathy,"Galadriel when they enter the forest: ""FrodoÉ your coming to us is as the footsteps of doom. You bring great evil here, Ring-bearer""",,,,,,LOTHLORIEN,,9024,9036,
Extreme Close-Up,Galadriel eyes close-up when they first enter the forest and she saying something to Frodo for the first time.,,,,,,LOTHLORIEN,,9030,9031,
Behind the Black," Gimli claims he has ""eyes like a hawk"" but doesn't notice the squadron of elves with their arrows pointed at him.",,,,,,LOTHLORIEN,,9050,9053,
Instantly Proven Wrong," As the fellowship is travelling through forbidden Elven woods, Gimli declares that he won't be caught easily, because he has ""the eyes of a hawk and the ears of a fox."" A split second later, he sees elves pointing drawn bows at him less than half a meter away, and Haldir claims that he was breathing so loudly that they could have shot him in the dark. Gimli: Here's one dwarf they won't ensnare so easily! I've got the eyes of a hawk and the ears of a fox. [cue elvish arrows drawn at Gimli's head at point-blank range]",,,,,,LOTHLORIEN,,9050,9053,
Precision F-Strike," Implied when Gimli gets irritated with Haldir speaking Elvish with Aragorn and feeling left out of the convesation. Gimli shoots off an insult in Elvish, and whatever he said leaves Haldir fuming and Aragorn both embarrassed and pissed that the Dwarf is making his already-delicate negotiations even more difficult.",,,,,,LOTHLORIEN,,9097,9101,
Fade to White,"Not full screen fade, but a white glow right before Lady Galadriel is shown for the first time.",,,,,,LOTHLORIEN,,9249,9271,
Establishing Character Moment," The first glimpse of the Lady Galadriel (other than the flash of her eyes that Frodo sees when he hears her voice in his mind) is her descending the stairs in Caras Galadhon with Celeborn in a blinding, majestic aura of white light. ",,,,,,LOTHLORIEN,,9254,9270,
Extreme Close-Up, Galadriel's intro scene frequently cuts right up to Galadriel's eyes and then cuts back to the eyes of a member of the Fellowship. This is a visual adaptation of the narration from the book which makes clear everyone in the Fellowship felt Galadriel's eyes piercing into their soul.,,,,,,LOTHLORIEN,,9297,9427,
Shot/Reverse Shot," The movie gets across Galadriel's ability to see into the Fellowship's mind by cutting between an Extreme Close-Up of her eyes and then a member of the Fellowship. This goes on for each of them until we cut back to her from Frodo's face, when we hear her speaking telepathically into her mind. 1) Galadrial and Aragorn.",,,,,,LOTHLORIEN,,9297,9300,
Shot/Reverse Shot," The movie gets across Galadriel's ability to see into the Fellowship's mind by cutting between an Extreme Close-Up of her eyes and then a member of the Fellowship. This goes on for each of them until we cut back to her from Frodo's face, when we hear her speaking telepathically into her mind. 2) Galadrial and Boromir.",,,,,,LOTHLORIEN,,9363,9372,
Telepathy,"Galadriel speaks to Frodo in his mind in Lothlorien. ""Welcome, Frodo of the Shire, one who has seen the Eye!""",,,,,,LOTHLORIEN,,9421,9427,
Grief Song, Elves sing a tearjerking lament for Gandalf.,,,,,,LOTHLORIEN,,9432,8910,
Scenery Gorn," The film is made of Scenery Porn during the ""good times"" parts, and Scenery Gorn during the ""struggling times"" parts. The best example is probably the view of the ruination of the Shire in the Mirror of Galadriel note the actual canon Scouring of the Shire was cut from the films, so this was Jackson's way of wedging it in . As Sam and Frodo say in the books, seeing your own home devastated when you remember it being pleasant is far more horrifying than some anonymous landscape that you never knew before it was ruined.",,,,,,LOTHLORIEN-MIRROR,,9753,9774,
Storyboarding the Apocalypse, Galadriel shows Frodo a vision of The Shire as an industrial work camp. In the book it turns out she was bang on; in the following movies Saruman gets shanked early and that side of the conflict ends.,,,,,,LOTHLORIEN-MIRROR,,9753,9774,
Bad Future," The Scouring of the Shire from the books is turned into this in the film. Frodo is invited to look into the Mirror of Galadriel. He is shown a vision of the Shire being destroyed, orcs slaughtering other hobbits, the four (Merry, Pippin, Frodo and Sam) chained and forced to walk , being whipped by orcs. Galadriel tells Frodo that this is what will happen should he fail in his quest to destroy the Ring.",,,,,,LOTHLORIEN-MIRROR,,9753,9774,
War Comes Home," Discussed Trope . Near the end of the movie, the Elf queen Galadriel has Frodo stare into a mirror in which he sees his homeland, the Shire invaded by orcs and the hobbits carried off in chains. Galadriel informs him that this is a prophetic vision of what will come to pass if Frodo fails in his mission to destroy the ring.",,,,,,LOTHLORIEN-MIRROR,,9753,9774,
Telepathy,"Galadriel speaks to Frodo in his mind in Lothlorien. After seeing the Shire's destruction in the Mirror: ""It is what will come to pass if you should fail. The Fellowship is breaking. It is already begun. He will try to take the Ring. You know of whom I speak. One by one it will destroy them all."" Frodo responds, offering her the Ring.",,,,,,LOTHLORIEN-MIRROR,,9803,9834,
Phosphor-Essence, Galadriel glows with a bluish-white light when she explains how powerful and terrible she would become were she to accept the Ring.,,,,,,LOTHLORIEN-MIRROR,,9853,9879,
Power Glows," When Galadriel enters her wraith-like form, she emits a powerful white glow.",,,,,,LOTHLORIEN-MIRROR,,9853,9879,
Voice of the Legion, Galadriel gets a bit of this when she goes off on a tangent while being tempted by the Ring.,,,,,,LOTHLORIEN-MIRROR,,9858,9873,
God Save Us from the Queen!," ""In place of a Dark Lord you would have a QUEEN! Not dark but beautiful and terrible as the dawn! Treacherous as the sea ! Stronger than the foundations of the Earth! All shall love me, and despair !""",,,,,,LOTHLORIEN-MIRROR,,9854,9873,
All There in the Script," In the theatrical cut of the movie, Galadriel's name only appears once, in an unclear context if you don't know it's her name (""I will diminish, and go into the west, and remain Galadriel""). The extended edition has Haldir introducing both Galadriel and Celeborn, and in The Hobbit Gandalf makes sure to namedrop her.",,,,,Not sure we should include this one given her name is stated twice in the Extended Edition.,LOTHLORIEN-MIRROR,,9895,9896,
Lock and Load Montage,"Usually a montage of heroes gearing up for battle, Lurtz and the Uruk-hai company have a rage-filled body painting and arming montage when about to head out to snatch the hobbits (one carries something of great value).",yes,,,,AF added this one.,LURTZ-MISSION,,9997,10017,
I Want Them Alive!," When Saruman sends the Uruk-Hai out to battle, he tells the leader that ""one of the halflings [hobbits] carries something of great importance"" so he wants them alive ""and unspoiled"" (meaning, don't even search them for valuables). ",,,,,,LURTZ-MISSION,,10037,10039,
Uncommon Time," The Uruk-Hai theme from Howard Shore's score, heard most prominently in the track ""Amon Hen"" on this film's OST, has 5/4 time. Shore explained that he was aiming to give Saruman's army a mechanical-sounding accompaniment. The theme plays as the Uruk-hai company runs out of the gate of Saruman's tower.",,,,,,LURTZ-MISSION,,10031,10053,
Miracle Food, Elven lembas bread (which got more emphasis in the original book) is featured in a scene from the Extended Edition DVD. Legolas explains to the hobbits Merry and Pippin that a single bite of lembas can fill a grown man's stomach for a day. As soon as Legolas leaves: Merry: How many did you eat? Pippin: Four. [groans],,,,,,LOTHLORIEN-GIFTS,,10081,10101,
Being Watched, Celeborn warns the Fellowship that they're being hunted by Orcs before leaving Lothlorien.,,,,,,LOTHLORIEN-GIFTS,,10132,10133,
It May Help You on Your Quest," Galadriel's gifts. All of them. Even moreso in the book, where she gives Sam a box of dirt with a mallorn nut in it. It helps.",,,,,,LOTHLORIEN-GIFTS,,10159,10346,
My New Gift Is Lame," Each member in the Fellowship receives cool personal gifts from Galadriel, including a magical lantern for Frodo, some daggers for Pippin and Merry, and a coveted lock of golden hair for Gimli. Sam, however, gets some rope. Visibly underwhelmed, he even has the balls to ask if he might have a ""shiny dagger"" as well, but Galadriel just smirks at his impudence and doesn't bother to reply. Of course, the rope magically unties itself when necessary, and comes in very useful . In the book, Sam is given a rare seed and fertile soil from Lothlorien due to his trade as a gardener. The rope is just part of the general equipment.",,,,,,LOTHLORIEN-GIFTS,,10194,10199,
Courtly Love," Gimli, almost immediately after seeing Galadriel. During the main gift scene, he monologues about viewing her as fairer than all the jewels beneath the earth.",,,,,,LOTHLORIEN-GIFTS,,10212,10221,
It Was a Gift,"In a deleted scene, Gimli talks about his gift --- Galadriel wasn't sure what to give him, so he asked for a single strand of hair from her head, and she gave him three. Legolas's surprised smile, and Gimli's satisfied tone, make this a rather heartwarming scene --- especially if the viewer is familiar with the origin of the Silmarils .",,,,,,LOTHLORIEN-GIFTS,,10365,10375,
Courtly Love," Gimli, almost immediately after seeing Galadriel. When she is bestowing gifts on the fellowship prior to their departure, all he requests is a strand of her golden hair . She gives him three .",,,,,,LOTHLORIEN-GIFTS,,10356,10375,
Rule of Symbolism," Christian symbolism is carried over from the books, although in a very discreet manner : When the Fellowship parts from Lothlorien, a white-clad Galadriel makes a blessing gesture, looking much like Catholic statues of Virgin Mary. ",,,,,,LOTHLORIEN-GIFTS,,10336,10344,
Uncommon Time," The Uruk-Hai theme from Howard Shore's score, heard most prominently in the track ""Amon Hen"" on this film's OST, has 5/4 time. Shore explained that he was aiming to give Saruman's army a mechanical-sounding accompaniment.",,,,,,LURTZ-MISSION,,10416,10458,
Foreshadowing,"Aragorn realizes that they're being followed by Gollum, but says that he's ""too clever a waterman"" to catch. In The Lord of the Rings: The Return of the King we see a flashback of Smeagol and Deagol pole-fishing from a boat, and Deagol proves to be a good swimmer. This bit in the Extended Edition also explicitly establishes that Gollum made out of Moria and is still on the Fellowship's tail. This sets up Gollum continuing to follow Frodo and Sam once they split off from the Fellowship and finally making his move at the beginning of the next film (something was only implied in the Theatrical Edition).",,,,,,RIVER TRAVEL,,10486,10491,
Warts and All," Invoked in Boromir's nighttime argument with Aragorn in the Extended Edition, berating Aragorn for his lack of faith in Men. Boromir: Have you so little faith in your own people? Yes, there is weakness. There is frailty. But there is courage also, and honor to be found in Men. But you will not see that. You are afraid! All your life, you have hidden in the shadows! Scared of who you are, of what you are.",,,,,,RIVER TRAVEL,,10560,10567,
Patrick Stewart Speech," Boromir's speech to Aragorn, shortly before the Breaking of the Fellowship. Though not a straight subversion of this trope, the story demonstrates a few scenes later that the reality of human nature is uglier than Boromir's speech makes it out to be .",,yes,,,,RIVER TRAVEL,,10558,10567,
Portal Statue Pairs," The Argonath, also known as the Gate of Kings or the Pillars of the Kings, was a landmark on the northern edge of Gondor in representing two of the earliest kings of Gondor.",,,,,,RIVER TRAVEL,,10599,10620,
Inevitable Waterfall," This scene appears to pop up, but it's okay, they're just banking at The Gates of Argonath .",,yes,,,,RIVER TRAVEL,,10663,10667,
Tragic Hero," Boromir, whose desire to protect his people at all costs makes him easy prey for the power of the Ring.",,,,,,BROKEN FELLOWSHIP,,10839,10899,
Evil Tower of Ominousness," The (original) Dark Tower, Barad-dur. Seen again as the completed tower at the end of the film, from the Seat of Amon Hen. Glimpsed when Frodo runs away from Boromir, putting on the Ring.",,,,,Not sure this is in the right spot.,BROKEN FELLOWSHIP,,10947,10950,
This Is as Far as I Go," Inverted when The Hero , Frodo, chooses to go on alone into Mordor, although his far more experienced companions would willingly have gone with him. Aragorn: [to Frodo] I would have gone with you to the end. Into the very fires of Mordor. Frodo: I know. ",,yes,,,,BROKEN FELLOWSHIP,,11024,11035,
The Hero,"The Hero , Frodo, chooses to go on alone into Mordor, although his far more experienced companions would willingly have gone with him. ",,,,,,BROKEN FELLOWSHIP,,11024,11044,
You Shall Not Pass!,"The entire final battle between the Fellowship and the Uruk-hai is another example, as the Fellowship attempts to buy time so Frodo can escape.",,,,,"Set to when Aragorn tells Frodo to run to Boromir's horn, when the focus shifts away from aggroing to helping Boromir.",BROKEN FELLOWSHIP,,11060,11237,
Final Battle," The attack in Amon Hen, where Saruman's Uruk-Hai ambush the Fellowship of the Ring. Aragorn manages to behead the Uruk leader Lutz, Boromir dies, Frodo and Sam flee separately and Merry and Pippin are taken away by the Uruks, which breaks the Fellowship .",,,,,Set from Aragorn telling Frodo to run to Lurtz death,BROKEN FELLOWSHIP,,11060,11492,
Hammer Hilt," When Aragorn faces down the entire horde of Uruk-Hai, he starts off the fight by following his first sword swing by smashing the crossguard of his sword into one Uruk's face.",,,,,,BROKEN FELLOWSHIP,,11075,11076,
Evil Sounds Deep," The Uruk-Hai captain Lurtz has a very deep voice, as do other orcs, when they're not given shrill, raspy voices.",,,,,,BROKEN FELLOWSHIP,,11091,11095,
Throwing Your Sword Always Works,"Gimli carries at least a couple throwing axes, which he uses to kill an Uruk-hai when he joins the fight at Amon Hen. ",,,,,,BROKEN FELLOWSHIP,,11105,11106,
Draw Aggro," Merry and Pippin call out to the Uruk Hai to distract them from Frodo's hiding place. Pippin: It's working! Merry: I know it's working, RUN!",,,,,,BROKEN FELLOWSHIP,,11163,11181,
We Need a Distraction," When Merry and Pippin realize that Frodo's leaving the Fellowship at Amon Hen, they create a distraction so he can escape.",,,,,,BROKEN FELLOWSHIP,,11163,11181,
Throwing Your Sword Always Works,Boromir kills an Uruk-hai with a thrown knife to the throat at the beginning of his Last Stand .,,,,,,BOROMIR REDEEMS,,11218,11219,
Big Damn Heroes," During the Battle at Amon Hen, Merry and Pippin have lured the Uruk-hai away from Frodo but are surrounded on all sides when Boromir leaps in and intercepts the closest Mook with his bare hands.",,,,,Fuzzy meaning on whether Merry and Pippin or Boromir is the hero: Set at Merry and Pippin aggroing to when Boromir defends them.,BOROMIR REDEEMS,,11163,11213,
Redemption Equals Death," Boromir's famous death scene happened right after he attacked Frodo, tried to take the ring from him, and cursed him along with ""all the halflings"". What was he doing during his death scene? Defending two of these ""Halflings"" with his life.",,,,,Set to start of his actual redemption (defending the hobbits),BOROMIR REDEEMS,,11213,11610,
Hoist by His Own Petard, The axe-wielding Uruk-hai takes his own axe in his back from Boromir.,,,,,,BOROMIR REDEEMS,,11214,11215,
"Oh, Crap!","Aragorn and Legolas are busy fighting the Uruk-Hai on Amon Hen, when suddenly they hear the Horn of Gondor being blown frantically. ""Boromir!!!""",,,,,,BOROMIR REDEEMS,,11237,11240,
Armor Is Useless," Merry and Pippin take several heavily armored Uruk-hai down by throwing rocks at their heavily armored heads, and whether or not they're outright killed is never clarified.",,,,,,BOROMIR REDEEMS,,11289,11305,
Canon Foreigner," Lurtz, the Uruk-Hai leader, does not appear in the books; Boromir is killed by an anonymous Orc and his death goes unwitnessed, and Aragorn does not fight any of them. Lurtz was invented for the film to give the Uruk-Hai a face. His name is never spoken aloud in the theatrical release, and only appears in the end credits. However, in the Extended Edition, Lurtz's name is spoken by Saruman. Despite some initial fears that he was an entirely new character, he really wasn't much different from other ""generic Uruk-hai leaders"" already present in the book.",,,,x,Set to when Lurtz releases the arrow to kill Boromir.,BOROMIR REDEEMS,,11313,11314,
Bow and Sword in Accord,The Uruk-hai captain (Lurtz) at the end also employs a bow/sword combo.,,,,,,BOROMIR REDEEMS,,11314,11445,
Sad Battle Music, The second is when Boromir is slain fighting the orcs.,,,,,,BOROMIR REDEEMS,,11330,11436,
Annoying Arrows," Boromir manages to continue fighting even while pincushioned by arrows as thick as sausages. However, the scene is presented as his Last Stand ; he clearly knows he is dead after the first arrow, and is using Heroic Resolve to take as many orcs down with him as he can. ",,,,,,BOROMIR REDEEMS,,11326,11383,
Heroic Second Wind," Subverted. Boromir takes an arrow, goes down... gets back up and keeps fighting. Four times before he can no longer get up again, taking out at least two orcs each time.",,yes,,,,BOROMIR REDEEMS,,11326,11378,
Major Injury Underreaction," Boromir merely grunts, drops to his knees, then gets right back up and keeps fighting after being shot with an arrow. It's not until the third that he stays down, and even then he's more concerned about failing the Fellowship than the fact that he has three arrows sticking out of his chest. Bear in mind that the shafts of these arrows were themselves a full inch in diameter.",,,,,,BOROMIR REDEEMS,,11322,11383,
Taking You with Me,Boromir takes down many Uruk-Hai as he is being pierced by Lurtz' arrows.,,,,,,BOROMIR REDEEMS,,11326,11378,
Untouchable Until Tagged," Boromir was on a rip-roaring Orc-slaying binge until a single arrow hits him, which was enough to get him mobbed and killed, although it took another couple of arrows to fully incapacitate him. Inverted somewhat as he has to be tagged 3 times before he dies.",yes,,,,,BOROMIR REDEEMS,,11316,11383,
Roaring Rampage of Revenge,"The second comes after Boromir falls to his knees for the last time---Merry raises his sword and screams, followed by Pippin, and they rush the Uruk-hai---only to be effortlessly grabbed and carried away.",,,,,,BOROMIR REDEEMS,,11392,11398,
Rasputinian Death," Even after being shot with 3 arrows, Boromir puts up a fight before dying.",,,,,,BOROMIR REDEEMS,,11326,11610,
Slow-Motion Fall," Done with Boromir at the end of the movie. When the first arrow hits him, he staggers and falls slowly to his knees... but, since this is his Dying Moment of Awesome , he stands back up and keeps fighting while the scene remains in slow motion. It's repeated when he's hit by a second arrow, falls, and stands again, but the third arrow finishes it. The scene returns to normal speed when Aragorn crashes into the Uruk-Hai archer.",,,,,,BOROMIR REDEEMS,,11342,11442,
Beauty Is Never Tarnished,Boromir catches several arrows in his chest.,,,,,,BOROMIR REDEEMS,,11320,11437,
Happily Ever Before," The book ends with Boromir trying to steal the Ring, the departure of Frodo and Sam for Mordor and the capture of Merry and Pippin by the Uruk-hai. The film inverts it by including the first chapter of The Two Towers , which has the redemption and death of Boromir and the Three Hunters giving chase to the hobbits' captors, arguably ending on a more positive, hopeful note that comes afterwards .",yes,,,x,,BOROMIR REDEEMS,,11213,11955,
Conveniently Timed Attack from Behind," Lurtz (the Uruk-Hai captain) is about to finish off Boromir when Aragorn appears to fight him off. It's too late for Boromir, though.",,,,,,ARAGORN-LURTZ FIGHT,,11439,11443,
Thwarted Coup de Grace," Lurtz, the head Uruk-Hai, has shot Boromir full of holes and is ready to deliver the killing shot when Aragorn leaps in and kills Lurtz.",,,,,,ARAGORN-LURTZ FIGHT,,11439,11443,
Combat Breakdown," After nearly three hours of epic High Fantasy swordplay, the final duel between Aragorn and the Uruk-Hai captain Lurtz devolves into a comparatively fast but extremely vicious physical brawl between the two of them stabbing, choking, punching, headbutting, and generally beating the absolute hell out of one another. It only ends when Aragorn cuts off his arm, stabs him in the chest up to Anduril's hilt, and finally cuts off the Orc's head.",,,,,,ARAGORN-LURTZ FIGHT,,11445,11492,
Brutal Brawl,"Aragorn's fight with the Uruk-Hai, Lurtz; a brief, nasty scuffle that features Aragorn getting his nose broken by a headbutt, Lurtz stabbed with a dagger, and finally Aragorn lopping off his arm and head.",,,,,,ARAGORN-LURTZ FIGHT,,11445,11492,
Blade Lock," Aragorn's final confrontation with the Uruk-hai chief Lurtz begins with the two pushing their swords against each other for about two seconds, before Lurtz demonstrates his overwhelming strength by shoving Aragorn backwards into a tree.",,,,,,ARAGORN-LURTZ FIGHT,,11445,11449,
Sword Fight,"Second, Aragorn fighting the leader of the Uruk-Hai.",,,,,,ARAGORN-LURTZ FIGHT,,11445,11492,
